age,gender,education,marital_status,credit_limit,credit_score,payment_ratio,days_overdue,num_prev_defaults,employment_months,debt_to_income,utilizacion_credito,loan_purpose,pay_hist_mes1,pay_hist_mes2,pay_hist_mes3,bill_amt_mes1,bill_amt_mes2,pay_amt_mes1,pay_amt_mes2,DEFAULT
44,2,1,1,30000,652,0.2135,120,3,102,0.5255,1.0,consumo,1,-1,-1,103318.0,34607.0,3994.0,10530.0,1
64,2,2,1,50000,658,0.4727,30,0,74,0.1289,0.0509,vehiculo,0,1,1,2546.0,7227.0,32905.0,37575.0,0
50,2,1,1,80000,729,0.1931,159,0,50,0.2171,0.2667,consumo,3,1,-1,21335.0,40129.0,19197.0,4425.0,0
58,2,1,2,50000,814,0.3719,72,0,191,0.2925,0.7668,consumo,-1,2,-1,38340.0,12163.0,19887.0,42.0,0
22,1,1,1,30000,455,0.2689,10,2,93,0.3325,1.0,educacion,0,0,-1,75939.0,21557.0,4423.0,47869.0,1
41,1,2,1,80000,626,0.2507,32,0,175,0.0944,1.0,educacion,1,0,-1,88793.0,15097.0,7073.0,28690.0,0
53,1,1,2,200000,695,0.5421,243,0,176,0.0689,0.0309,educacion,0,6,0,6180.0,343.0,24372.0,11249.0,0
32,2,1,2,150000,681,0.2695,70,3,48,0.5521,0.148,consumo,0,0,-1,22197.0,2837.0,7606.0,44138.0,1
78,2,2,2,50000,723,0.7057,188,0,34,0.3492,1.0,educacion,-1,1,0,121670.0,17539.0,10339.0,2506.0,0
42,1,2,1,50000,609,0.8674,123,1,5,0.3802,0.306,vehiculo,1,-1,2,15301.0,21623.0,1829.0,14112.0,1
64,2,2,1,20000,675,0.1469,61,0,105,0.0724,1.0,educacion,2,2,-1,225289.0,9073.0,2747.0,26988.0,0
45,2,3,1,200000,572,0.1828,41,2,8,0.5519,0.2676,consumo,0,1,-1,53513.0,51846.0,13463.0,11801.0,0
69,2,2,2,200000,508,0.2096,218,1,24,0.3281,0.0487,negocio,2,-1,-1,9747.0,196764.0,5959.0,1063.0,1
47,1,1,2,10000,674,0.183,191,1,14,0.09,1.0,vehiculo,0,6,1,46633.0,14762.0,11429.0,17946.0,0
62,2,2,1,150000,510,0.185,215,0,1,0.4545,0.4039,educacion,1,3,7,60580.0,16896.0,13341.0,27323.0,1
48,2,2,1,200000,597,0.1934,156,1,22,0.3398,1.0,consumo,5,2,-1,280291.0,34727.0,82.0,48769.0,1
36,2,2,2,150000,663,0.4627,98,0,56,0.1194,0.4906,consumo,-1,0,0,73591.0,20063.0,29052.0,3625.0,0
35,2,3,2,50000,766,0.327,134,0,47,0.2526,1.0,negocio,0,0,-1,55041.0,12109.0,16099.0,27508.0,0
67,2,3,1,50000,618,0.1434,224,0,5,0.2115,1.0,consumo,4,3,5,57298.0,33800.0,11035.0,11526.0,0
71,1,2,1,50000,724,0.165,71,0,51,0.1547,1.0,consumo,0,0,-1,50298.0,81058.0,13305.0,16760.0,0
64,2,1,2,80000,528,0.2448,130,2,89,0.6815,0.7205,consumo,-1,0,0,57642.0,87699.0,20851.0,9943.0,1
75,1,3,2,200000,584,0.1579,249,0,52,0.583,0.0324,vehiculo,-1,-1,1,6485.0,57100.0,1022.0,3034.0,1
72,1,2,1,100000,734,0.1303,122,0,8,0.1037,0.1144,negocio,-1,0,1,11443.0,164638.0,9052.0,577.0,0
77,1,2,1,80000,720,0.2022,1,1,7,0.0529,0.4444,vehiculo,0,-1,0,35556.0,7417.0,7623.0,17279.0,0
23,1,4,1,200000,595,0.4784,94,0,9,0.4166,0.1812,consumo,0,3,0,36247.0,64252.0,4275.0,8943.0,1
57,1,2,1,10000,691,0.2974,68,1,5,0.3371,0.7315,negocio,0,1,-1,7316.0,6190.0,2046.0,21521.0,0
71,2,2,3,30000,742,0.6823,216,1,2,0.0978,1.0,negocio,-1,1,-1,33792.0,97188.0,26806.0,22499.0,0
27,2,2,2,50000,574,0.4135,72,1,7,0.1476,0.0498,vehiculo,0,0,2,2492.0,11411.0,343.0,58839.0,0
41,2,1,2,100000,769,0.2764,180,0,37,0.2609,1.0,consumo,1,6,0,138896.0,22036.0,11714.0,59120.0,0
29,2,2,2,500000,665,0.2867,241,1,21,0.1778,0.0447,negocio,8,1,0,22338.0,32368.0,25833.0,16326.0,0
59,1,1,1,100000,682,0.338,242,1,1,0.2325,0.1117,negocio,0,8,-1,11171.0,32538.0,19205.0,5833.0,0
38,1,1,2,50000,610,0.3226,276,4,62,0.6366,0.0934,consumo,-1,9,2,4672.0,48353.0,21356.0,6918.0,1
24,2,2,1,150000,609,0.323,103,4,30,0.5785,0.0526,negocio,0,0,0,7893.0,57490.0,14566.0,12248.0,1
45,2,2,2,500000,675,0.4898,93,1,11,0.2662,0.0243,consumo,0,3,0,12157.0,3213.0,22452.0,4090.0,0
34,2,2,1,100000,833,0.1677,250,0,44,0.1198,1.0,vivienda,0,0,-1,128680.0,4694.0,20417.0,11304.0,0
70,2,3,1,50000,657,0.7061,98,0,22,0.3022,0.1593,vehiculo,-1,-1,-1,7968.0,34004.0,29430.0,74295.0,0
78,2,1,1,100000,476,0.1193,71,4,9,0.6362,1.0,negocio,1,-1,0,123209.0,47496.0,2653.0,13678.0,1
29,2,2,2,80000,470,0.5012,154,2,36,0.5721,0.4827,negocio,-1,0,0,38619.0,9305.0,789.0,5027.0,1
46,2,2,1,80000,600,0.0778,221,0,119,0.3086,0.2412,educacion,7,1,-1,19295.0,61555.0,1387.0,5527.0,0
73,1,2,1,300000,515,1.0675,6,0,29,0.1589,0.144,consumo,-1,-1,-1,43188.0,7129.0,7452.0,16121.0,0
22,2,3,2,50000,456,0.6484,213,0,61,0.3815,1.0,educacion,-1,0,7,97823.0,1169.0,10122.0,41381.0,1
40,2,1,2,50000,574,0.522,162,1,45,0.2669,0.1591,educacion,5,0,-1,7954.0,73993.0,18420.0,13225.0,0
48,2,2,1,100000,566,0.1149,164,2,4,0.3627,1.0,vehiculo,0,2,5,102206.0,35902.0,4021.0,9650.0,1
67,1,2,1,80000,655,0.2035,91,0,22,0.2169,0.146,educacion,0,3,0,11679.0,116459.0,502.0,11356.0,0
27,2,2,2,50000,605,0.1364,161,2,71,0.374,1.0,vehiculo,-1,0,-1,86137.0,68376.0,10119.0,15562.0,1
64,1,2,1,50000,577,0.4554,40,0,7,0.1248,1.0,consumo,0,0,0,63650.0,9078.0,7723.0,44036.0,0
28,2,2,2,80000,427,0.3186,153,2,15,0.4944,0.5042,consumo,0,-1,1,40336.0,11932.0,42246.0,12942.0,1
67,1,1,1,20000,569,0.2785,158,0,1,0.0758,0.6493,vehiculo,-1,1,5,12987.0,36287.0,12947.0,10070.0,0
55,1,2,2,30000,605,0.5932,183,2,91,0.4163,0.0959,educacion,1,-1,6,2877.0,3341.0,731.0,42921.0,1
34,2,2,2,200000,631,0.3111,41,0,20,0.3539,0.5066,consumo,0,0,-1,101326.0,153348.0,26720.0,39216.0,1
37,1,2,2,300000,704,0.1846,155,0,24,0.0924,0.1344,consumo,0,-1,-1,40327.0,44221.0,16635.0,1431.0,0
56,1,2,1,50000,673,0.196,163,0,167,0.0927,0.0912,negocio,0,-1,0,4559.0,125005.0,15150.0,15787.0,0
70,1,1,1,200000,583,1.5669,99,0,50,0.1066,0.0225,consumo,0,0,-1,4502.0,11431.0,43613.0,31048.0,0
60,1,1,1,20000,641,0.9699,122,2,58,0.3608,1.0,consumo,3,2,1,36531.0,14495.0,20152.0,8814.0,0
24,2,1,1,30000,827,0.7024,161,2,58,0.1707,1.0,consumo,-1,-1,0,43806.0,5205.0,7228.0,50687.0,0
22,2,1,3,100000,389,0.2317,129,4,32,0.2908,0.1757,vehiculo,2,-1,-1,17572.0,9690.0,9316.0,2539.0,1
26,2,3,1,100000,664,0.1847,159,0,148,0.1143,1.0,consumo,-1,1,-1,128679.0,11495.0,16136.0,4644.0,0
74,2,3,2,30000,760,0.2647,281,0,191,0.2204,0.366,negocio,2,-1,9,10980.0,41557.0,9445.0,427.0,0
62,2,3,3,300000,619,0.2689,60,0,92,0.3094,0.0571,consumo,0,-1,0,17140.0,6223.0,4502.0,6431.0,0
24,2,2,3,100000,515,0.1303,224,0,78,0.463,0.1731,consumo,0,0,0,17311.0,64695.0,981.0,1037.0,1
74,2,1,2,300000,539,0.0644,38,3,15,0.5998,0.1724,educacion,-1,-1,1,51709.0,118072.0,882.0,13747.0,1
49,2,2,1,20000,819,0.641,126,1,93,0.0451,0.0308,consumo,0,-1,4,617.0,13229.0,363.0,6001.0,0
38,2,3,1,100000,606,0.4867,41,0,8,0.3475,0.7161,negocio,1,0,1,71615.0,32727.0,4178.0,47217.0,0
46,2,2,2,50000,644,0.2337,124,1,106,0.1538,0.7926,negocio,0,0,4,39630.0,34698.0,7051.0,12281.0,0
64,1,1,2,200000,677,0.0842,61,0,71,0.1553,0.6853,consumo,0,0,-1,137054.0,67154.0,2378.0,2876.0,0
54,1,2,1,10000,575,0.0532,283,4,1,0.5614,1.0,consumo,5,3,-1,35173.0,48953.0,5712.0,1075.0,1
30,2,1,2,150000,619,0.213,155,1,44,0.1749,0.6563,consumo,0,-1,0,98446.0,5310.0,3702.0,49005.0,0
56,2,1,1,20000,647,0.3936,98,1,24,0.2034,0.5865,consumo,0,-1,2,11731.0,43086.0,501.0,13006.0,0
34,1,2,2,200000,719,0.4222,41,0,50,0.111,0.0146,vivienda,0,-1,0,2914.0,4533.0,462.0,6732.0,0
51,1,3,2,80000,754,0.4128,73,1,54,0.1434,1.0,vehiculo,-1,0,0,129158.0,24755.0,43086.0,11954.0,0
68,2,2,1,20000,644,0.1506,10,1,68,0.0261,1.0,vehiculo,0,-1,0,137819.0,47440.0,7271.0,25890.0,0
35,2,2,2,200000,545,0.2824,33,1,14,0.5143,0.9306,vivienda,-1,-1,-1,186115.0,3837.0,48379.0,14485.0,1
28,1,2,2,80000,728,0.1788,36,0,4,0.2992,0.2583,consumo,0,1,-1,20667.0,24997.0,1156.0,23034.0,0
34,1,2,1,10000,690,0.2901,241,1,3,0.2913,1.0,consumo,-1,0,0,18975.0,43208.0,19414.0,2599.0,1
43,2,1,1,10000,601,0.3337,163,1,94,0.0576,1.0,vehiculo,2,5,-1,10481.0,34576.0,11211.0,17167.0,0
77,2,2,2,30000,580,1.1915,244,1,1,0.2227,0.1904,consumo,-1,-1,8,5711.0,16770.0,349.0,79165.0,0
60,1,1,1,150000,582,0.3929,181,0,7,0.2572,0.7449,vehiculo,1,6,-1,111733.0,777.0,2484.0,23081.0,0
41,2,2,3,50000,539,0.6938,41,0,1,0.0359,0.3772,vehiculo,0,0,1,18861.0,43413.0,8135.0,6647.0,0
36,2,1,2,80000,628,0.111,277,0,42,0.2227,0.4683,consumo,0,-1,4,37463.0,69139.0,1615.0,3702.0,0
65,2,3,1,20000,628,0.2345,100,0,89,0.1115,1.0,vivienda,-1,-1,1,56597.0,13192.0,7953.0,26060.0,0
38,2,1,1,150000,697,0.0876,193,0,40,0.0568,1.0,consumo,-1,6,-1,272178.0,641.0,2583.0,7788.0,0
67,2,1,2,50000,623,0.3598,161,2,47,0.5174,1.0,vehiculo,5,1,-1,54125.0,40623.0,469.0,33149.0,1
73,1,1,2,50000,806,0.4725,62,1,141,0.4668,0.4349,negocio,-1,0,2,21743.0,14602.0,8124.0,8243.0,0
44,1,2,1,100000,565,0.8508,152,0,33,0.1361,0.08,negocio,-1,-1,-1,8002.0,23507.0,27929.0,9581.0,0
46,1,2,1,150000,647,0.276,70,0,7,0.2361,0.0032,vivienda,2,0,1,486.0,21757.0,28667.0,24168.0,0
45,1,1,2,10000,686,0.4014,184,1,1,0.3495,1.0,negocio,0,-1,0,42244.0,36820.0,32647.0,5253.0,1
65,1,1,2,10000,603,0.1216,102,0,51,0.1424,1.0,consumo,-1,0,3,66601.0,130702.0,676.0,8590.0,0
61,1,2,1,20000,539,0.1278,70,1,32,0.6109,1.0,vivienda,-1,-1,0,106092.0,61708.0,11183.0,171.0,1
49,2,2,2,200000,547,0.6379,276,1,154,0.6094,0.2354,negocio,-1,0,0,47073.0,7781.0,2767.0,10002.0,1
35,2,3,2,200000,634,0.175,96,0,56,0.558,0.1236,negocio,-1,-1,0,24717.0,37314.0,4072.0,1529.0,1
65,2,2,1,100000,696,0.3493,282,0,115,0.2312,0.1638,vivienda,9,5,-1,16380.0,26725.0,8519.0,751.0,0
21,2,2,1,10000,830,0.3277,284,0,85,0.2515,1.0,educacion,0,2,9,68820.0,51238.0,25050.0,13051.0,0
45,1,2,2,150000,438,0.437,223,1,15,0.4782,0.1835,negocio,-1,7,1,27531.0,91630.0,25631.0,6764.0,1
27,1,2,1,200000,457,0.3271,125,3,6,0.1727,0.1132,negocio,0,-1,-1,22636.0,83604.0,19579.0,9640.0,1
29,1,2,1,300000,756,0.8745,125,0,46,0.1861,0.0345,consumo,0,-1,-1,10338.0,88748.0,37912.0,4748.0,0
44,2,1,2,150000,516,0.8196,98,1,73,0.616,0.0083,consumo,2,-1,-1,1244.0,1201.0,23357.0,11311.0,1
21,1,2,1,50000,521,0.1507,97,2,7,0.5859,0.5741,educacion,0,-1,-1,28707.0,28441.0,17888.0,6019.0,1
64,2,2,2,80000,728,0.539,100,0,27,0.1523,0.0952,consumo,3,2,0,7619.0,83407.0,5153.0,23517.0,0
28,2,2,1,80000,514,0.4006,64,1,45,0.654,0.0018,consumo,-1,-1,0,144.0,29275.0,2504.0,9551.0,1
44,1,2,2,80000,607,0.3838,132,0,86,0.0234,0.1485,vehiculo,0,0,4,11884.0,14158.0,14994.0,808.0,0
31,1,1,1,80000,729,0.5043,212,0,151,0.0766,0.1212,consumo,-1,0,-1,9697.0,117390.0,4480.0,29970.0,0
71,2,1,3,20000,526,0.3795,60,2,1,0.4508,0.6019,negocio,-1,0,2,12039.0,5947.0,9281.0,6676.0,1
37,2,1,2,200000,464,0.4166,69,1,1,0.1781,0.7375,consumo,-1,0,2,147508.0,2955.0,3749.0,11120.0,1
28,2,3,2,10000,598,0.189,122,0,118,0.4175,1.0,negocio,0,-1,4,31251.0,24924.0,2793.0,1227.0,1
55,1,3,1,10000,712,0.3096,97,0,25,0.0909,1.0,consumo,1,0,0,90578.0,68785.0,23499.0,23477.0,0
55,2,1,3,10000,706,0.2452,11,0,12,0.13,1.0,vivienda,0,-1,-1,160376.0,130954.0,14159.0,1377.0,0
53,1,1,1,300000,482,0.2275,212,1,38,0.328,0.3939,vehiculo,7,-1,3,118165.0,24213.0,13371.0,15114.0,1
25,2,1,1,500000,543,1.5582,65,2,8,0.2137,0.0094,consumo,-1,2,0,4718.0,17796.0,34095.0,15399.0,1
62,2,1,1,30000,527,1.0922,66,3,9,0.2429,0.7232,vivienda,1,0,0,21698.0,16255.0,24352.0,6652.0,1
59,2,1,2,20000,692,0.4391,153,1,32,0.0669,1.0,educacion,0,2,-1,22529.0,41406.0,3110.0,1621.0,0
78,2,1,2,10000,766,0.2426,74,1,16,0.4696,1.0,negocio,-1,-1,2,45105.0,34640.0,36827.0,27931.0,1
61,2,2,3,300000,595,0.4459,69,0,3,0.3146,0.0601,vehiculo,0,-1,2,18031.0,18326.0,19317.0,920.0,0
48,1,2,1,50000,829,0.2095,100,0,108,0.1536,0.2226,consumo,-1,0,-1,11132.0,35361.0,5203.0,8026.0,0
27,1,1,2,80000,707,0.101,158,0,19,0.3174,1.0,vivienda,5,0,1,82785.0,226596.0,3729.0,14243.0,0
29,1,2,2,50000,672,0.7075,6,0,6,0.2836,0.1153,negocio,0,0,-1,5763.0,23757.0,3432.0,28363.0,0
28,2,2,2,300000,432,0.4363,224,2,93,0.6953,0.0375,consumo,-1,3,3,11254.0,1039.0,12835.0,3022.0,1
32,2,1,1,200000,724,0.3831,36,1,58,0.1016,0.0392,vehiculo,0,1,-1,7842.0,7155.0,2269.0,6515.0,0
54,1,2,2,200000,728,0.1302,4,0,44,0.2474,0.198,negocio,-1,0,-1,39609.0,55808.0,13216.0,2940.0,0
53,2,1,3,50000,587,0.1811,181,2,14,0.3195,0.4442,consumo,1,2,-1,22212.0,124839.0,2934.0,15611.0,1
68,1,1,2,30000,543,0.1654,60,1,8,0.7154,0.4037,consumo,0,-1,1,12112.0,5633.0,8188.0,13171.0,1
75,1,1,2,100000,693,0.2124,32,0,57,0.1211,0.151,vivienda,0,0,1,15101.0,61567.0,3026.0,1559.0,0
43,1,3,2,30000,721,0.1494,93,0,35,0.1537,1.0,vehiculo,3,-1,2,55572.0,25628.0,16621.0,12263.0,0
44,2,2,2,50000,497,0.5551,72,2,120,0.5795,0.1921,vehiculo,-1,1,0,9607.0,40098.0,17727.0,22765.0,1
57,2,2,2,300000,692,0.2495,0,1,93,0.0513,0.6046,educacion,0,-1,0,181383.0,6323.0,25833.0,3416.0,0
55,2,3,1,200000,702,0.7937,212,0,41,0.2117,0.0373,consumo,-1,2,7,7462.0,6845.0,5612.0,391.0,0
64,2,1,1,50000,787,0.4843,37,0,16,0.1514,0.4216,vivienda,0,-1,0,21082.0,8367.0,19300.0,42637.0,0
60,1,3,2,50000,589,0.2906,121,0,65,0.6323,0.7104,consumo,3,4,3,35522.0,20279.0,7903.0,6032.0,1
42,2,2,1,100000,532,0.7928,222,4,61,0.3611,0.5572,consumo,1,0,-1,55717.0,1432.0,54399.0,72.0,1
47,1,2,1,150000,674,0.7931,121,0,31,0.1014,0.2342,educacion,2,0,0,35134.0,15614.0,15373.0,13338.0,0
55,2,2,1,20000,584,0.1888,283,0,12,0.134,0.0264,consumo,0,9,-1,527.0,112049.0,24610.0,3511.0,0
21,2,2,2,300000,486,0.7119,134,1,30,0.3107,0.1058,consumo,0,-1,0,31751.0,3801.0,10513.0,32493.0,1
55,2,3,2,20000,547,0.9708,218,0,89,0.2015,1.0,vivienda,3,-1,7,25420.0,5834.0,3204.0,6761.0,0
57,2,3,2,100000,773,0.2365,95,0,93,0.033,0.1489,educacion,0,3,-1,14892.0,57476.0,1614.0,2699.0,0
67,2,1,2,80000,735,0.4535,32,0,92,0.4232,0.1463,consumo,0,1,-1,11705.0,9962.0,6629.0,25055.0,0
34,1,1,2,50000,640,0.3762,103,1,18,0.1449,0.0787,vehiculo,3,1,3,3937.0,38507.0,9493.0,22439.0,0
23,2,1,2,80000,680,0.2507,95,0,132,0.0102,0.0537,consumo,2,3,0,4292.0,40706.0,10772.0,10361.0,0
21,1,1,2,200000,602,0.2232,150,0,122,0.095,0.0841,consumo,-1,5,-1,16811.0,73519.0,21367.0,3860.0,0
25,1,1,1,50000,564,0.0705,102,0,64,0.1581,1.0,vivienda,0,0,1,55650.0,75827.0,719.0,4961.0,0
46,2,1,1,200000,637,0.3706,284,0,52,0.1547,0.2153,educacion,-1,-1,2,43052.0,12403.0,4551.0,2022.0,0
75,2,1,2,10000,595,0.2504,66,3,3,0.4214,1.0,vehiculo,-1,-1,0,95927.0,47501.0,7295.0,29664.0,1
34,1,2,1,80000,668,0.2855,104,0,38,0.0826,0.2917,vivienda,-1,3,-1,23339.0,44086.0,39187.0,842.0,0
59,2,3,2,30000,584,1.0378,164,0,132,0.3905,0.4288,vehiculo,0,-1,5,12866.0,39072.0,95146.0,2410.0,0
47,2,1,2,300000,704,0.4009,120,0,73,0.1001,0.1785,educacion,4,0,-1,53547.0,43672.0,9112.0,1026.0,0
29,2,1,2,10000,560,0.2069,40,0,107,0.2849,1.0,consumo,0,-1,1,46751.0,151667.0,6166.0,3681.0,0
35,2,1,1,10000,685,0.298,60,0,5,0.2456,1.0,educacion,-1,1,2,42238.0,14668.0,1276.0,18980.0,0
35,2,3,2,150000,698,0.5108,43,0,38,0.1417,0.3438,educacion,-1,1,0,51571.0,59527.0,16376.0,2614.0,0
46,1,2,1,150000,461,0.251,124,1,10,0.4454,0.7306,vehiculo,0,4,3,109593.0,27447.0,3393.0,1275.0,1
62,2,4,1,20000,578,0.369,95,1,2,0.3652,0.1099,vehiculo,3,0,0,2198.0,110401.0,7992.0,19955.0,1
33,2,3,2,300000,839,0.2251,40,0,5,0.0707,0.0606,consumo,-1,-1,-1,18171.0,1693.0,15636.0,4765.0,0
71,2,3,2,200000,526,0.6291,35,4,38,0.4758,0.27,negocio,0,0,1,54007.0,86238.0,24098.0,2404.0,1
52,2,1,1,30000,698,1.2343,125,0,1,0.2706,0.8265,consumo,4,1,0,24796.0,38614.0,43385.0,4140.0,0
59,1,2,1,100000,515,0.2646,67,0,16,0.2076,0.1626,vehiculo,-1,-1,1,16256.0,49756.0,2545.0,8066.0,1
69,1,4,1,50000,850,0.4612,71,0,59,0.0395,0.5607,vivienda,-1,-1,0,28036.0,46580.0,12284.0,6831.0,0
72,1,1,1,80000,406,0.2892,159,3,18,0.5577,0.4881,vehiculo,0,5,4,39050.0,30789.0,14988.0,9348.0,1
52,2,2,1,150000,779,0.1969,272,0,82,0.0822,0.1732,vehiculo,0,-1,9,25987.0,92771.0,8654.0,20641.0,0
24,1,1,1,100000,621,0.1853,186,1,13,0.4765,1.0,vehiculo,-1,6,0,214353.0,157574.0,12567.0,19691.0,1
50,1,2,2,20000,571,0.3567,159,0,22,0.568,1.0,consumo,0,1,2,62483.0,52429.0,16587.0,299.0,1
57,2,3,3,100000,705,1.0726,126,0,103,0.1585,0.0689,consumo,4,0,-1,6892.0,14930.0,28320.0,26629.0,0
43,2,2,1,20000,491,0.1529,134,3,38,0.3356,0.8402,consumo,4,-1,-1,16804.0,103114.0,12148.0,704.0,1
59,2,2,1,50000,662,0.3638,2,0,86,0.1916,0.7631,consumo,-1,0,-1,38158.0,15306.0,10455.0,4026.0,0
65,2,2,1,50000,745,0.2279,162,0,57,0.0478,0.8037,consumo,0,4,0,40186.0,37050.0,19848.0,6466.0,0
35,1,2,1,20000,508,0.2768,247,6,43,0.2957,0.3023,consumo,-1,0,-1,6046.0,28836.0,3974.0,8815.0,1
63,1,2,1,20000,554,0.056,212,0,46,0.1247,1.0,negocio,1,-1,0,40330.0,4751.0,1535.0,11907.0,0
49,2,3,1,150000,570,0.4073,70,0,113,0.3076,0.1968,consumo,0,0,0,29518.0,115625.0,29598.0,28112.0,0
56,2,3,1,100000,660,0.1751,156,1,19,0.2012,0.4293,educacion,-1,0,0,42935.0,38952.0,3290.0,7527.0,0
33,2,2,1,500000,736,0.1379,154,0,49,0.1659,0.108,vehiculo,5,-1,4,54007.0,40721.0,6216.0,2131.0,0
52,1,2,2,300000,569,0.4934,64,1,64,0.1609,0.1802,vivienda,0,2,-1,54063.0,3412.0,48553.0,5606.0,0
27,1,1,1,20000,406,0.8113,30,1,18,0.2299,0.1942,consumo,0,1,-1,3885.0,56993.0,4406.0,37113.0,1
71,2,1,1,200000,491,0.3046,131,1,51,0.4524,0.1112,consumo,2,1,-1,22249.0,76588.0,32472.0,1776.0,1
42,2,1,2,50000,528,0.2074,69,1,34,0.464,0.5094,negocio,-1,2,-1,25469.0,26591.0,2383.0,28999.0,1
48,2,1,2,20000,565,0.1218,283,1,34,0.5457,1.0,negocio,0,1,1,72913.0,65042.0,18227.0,9814.0,1
22,2,1,1,80000,670,0.483,102,0,2,0.3497,0.3438,consumo,-1,0,3,27506.0,50294.0,9179.0,1182.0,0
62,2,1,1,30000,707,0.3493,95,0,33,0.1885,0.81,vivienda,-1,3,-1,24301.0,10198.0,7543.0,11831.0,0
65,2,1,1,80000,588,0.4161,164,1,48,0.4104,0.8333,negocio,0,0,5,66667.0,119796.0,7385.0,16526.0,1
77,2,2,2,100000,669,0.3349,122,2,6,0.4298,0.4883,negocio,-1,-1,-1,48835.0,35316.0,3145.0,15694.0,1
73,2,1,3,50000,789,0.2204,99,0,173,0.0273,0.3463,educacion,0,-1,0,17316.0,60159.0,2632.0,14502.0,0
26,2,2,1,80000,391,0.4782,275,1,1,0.3377,0.543,vivienda,0,-1,0,43437.0,77739.0,3987.0,15808.0,1
48,2,1,1,100000,780,0.3196,38,2,16,0.2395,0.0654,negocio,-1,1,-1,6537.0,82472.0,51940.0,5209.0,0
48,2,2,3,100000,700,0.2192,124,0,98,0.185,1.0,consumo,-1,-1,4,144911.0,63774.0,9390.0,19016.0,0
64,1,3,1,300000,640,0.209,65,0,3,0.6052,0.0037,educacion,0,2,-1,1119.0,29210.0,22989.0,43369.0,1
64,2,1,1,100000,742,0.6012,240,1,48,0.1182,0.4702,vivienda,0,3,0,47016.0,21333.0,40319.0,2303.0,0
40,2,4,1,50000,533,0.3443,101,0,4,0.0978,0.1862,consumo,3,0,-1,9308.0,31348.0,9400.0,17343.0,1
50,1,2,2,20000,578,0.1056,124,1,54,0.1903,1.0,vivienda,-1,-1,4,23903.0,70514.0,7582.0,7242.0,0
